N,District,State
1,Nicobars,Andaman and Nicobar Islands
2,North and Middle Andaman,Andaman and Nicobar Islands
3,South Andaman,Andaman and Nicobar Islands
4,Anantapur,Andhra Pradesh
5,Chittoor,Andhra Pradesh
6,East Godavari,Andhra Pradesh
7,Guntur,Andhra Pradesh
8,Krishna,Andhra Pradesh
9,Kurnool,Andhra Pradesh
10,Prakasam,Andhra Pradesh
11,S.P.S. Nellore,Andhra Pradesh
12,Srikakulam,Andhra Pradesh
13,Visakhapatnam,Andhra Pradesh
14,Vizianagaram,Andhra Pradesh
15,West Godavari,Andhra Pradesh
16,Y.S.R. Kadapa,Andhra Pradesh
17,Anjaw,Arunachal Pradesh
18,Changlang,Arunachal Pradesh
19,East Kameng,Arunachal Pradesh
20,East Siang,Arunachal Pradesh
21,Kamle,Arunachal Pradesh
22,Kra Daadi,Arunachal Pradesh
23,Kurung Kumey,Arunachal Pradesh
24,Lepa Rada,Arunachal Pradesh
25,Lohit,Arunachal Pradesh
26,Longding,Arunachal Pradesh
27,Lower Dibang Valley,Arunachal Pradesh
28,Lower Siang,Arunachal Pradesh
29,Lower Subansiri,Arunachal Pradesh
30,Namsai,Arunachal Pradesh
31,Pakke Kessang,Arunachal Pradesh
32,Papum Pare,Arunachal Pradesh
33,Shi Yomi,Arunachal Pradesh
34,Siang,Arunachal Pradesh
35,Tawang,Arunachal Pradesh
36,Tirap,Arunachal Pradesh
37,Upper Dibang Valley,Arunachal Pradesh
38,Upper Siang,Arunachal Pradesh
39,Upper Subansiri,Arunachal Pradesh
40,West Kameng,Arunachal Pradesh
41,West Siang,Arunachal Pradesh
42,Baksa,Assam
43,Barpeta,Assam
44,Biswanath,Assam
45,Bongaigaon,Assam
46,Cachar,Assam
47,Charaideo,Assam
48,Chirang,Assam
49,Darrang,Assam
50,Dhemaji,Assam
51,Dhubri,Assam
52,Dibrugarh,Assam
53,Dima Hasao,Assam
54,Goalpara,Assam
55,Golaghat,Assam
56,Hailakandi,Assam
57,Hojai,Assam
58,Jorhat,Assam
59,Kamrup,Assam
60,Kamrup Metropolitan,Assam
61,Karbi Anglong,Assam
62,Karimganj,Assam
63,Kokrajhar,Assam
64,Lakhimpur,Assam
65,Majuli,Assam
66,Morigaon,Assam
67,Nagaon,Assam
68,Nalbari,Assam
69,Sivasagar,Assam
70,Sonitpur,Assam
71,South Salmara Mankachar,Assam
72,Tinsukia,Assam
73,Udalguri,Assam
74,West Karbi Anglong,Assam
75,Araria,Bihar
76,Arwal,Bihar
77,Aurangabad,Bihar
78,Banka,Bihar
79,Begusarai,Bihar
80,Bhagalpur,Bihar
81,Bhojpur,Bihar
82,Buxar,Bihar
83,Darbhanga,Bihar
84,Gaya,Bihar
85,Gopalganj,Bihar
86,Jamui,Bihar
87,Jehanabad,Bihar
88,Kaimur,Bihar
89,Katihar,Bihar
90,Khagaria,Bihar
91,Kishanganj,Bihar
92,Lakhisarai,Bihar
93,Madhepura,Bihar
94,Madhubani,Bihar
95,Munger,Bihar
96,Muzaffarpur,Bihar
97,Nalanda,Bihar
98,Nawada,Bihar
99,West Champaran,Bihar
100,Patna,Bihar
101,East Champaran,Bihar
102,Purnia,Bihar
103,Rohtas,Bihar
104,Saharsa,Bihar
105,Samastipur,Bihar
106,Saran,Bihar
107,Sheikhpura,Bihar
108,Sheohar,Bihar
109,Sitamarhi,Bihar
110,Siwan,Bihar
111,Supaul,Bihar
112,Vaishali,Bihar
113,Chandigarh,Chandigarh
114,Balod,Chhattisgarh
115,Baloda Bazar,Chhattisgarh
116,Balrampur,Chhattisgarh
117,Bametara,Chhattisgarh
118,Bastar,Chhattisgarh
119,Bijapur,Chhattisgarh
120,Bilaspur,Chhattisgarh
121,Dakshin Bastar Dantewada,Chhattisgarh
122,Dhamtari,Chhattisgarh
123,Durg,Chhattisgarh
124,Gariaband,Chhattisgarh
125,Janjgir Champa,Chhattisgarh
126,Jashpur,Chhattisgarh
127,Kabeerdham,Chhattisgarh
128,Kondagaon,Chhattisgarh
129,Korba,Chhattisgarh
130,Koriya,Chhattisgarh
131,Mahasamund,Chhattisgarh
132,Mungeli,Chhattisgarh
133,Narayanpur,Chhattisgarh
134,Raigarh,Chhattisgarh
135,Raipur,Chhattisgarh
136,Rajnandgaon,Chhattisgarh
137,Sukma,Chhattisgarh
138,Surajpur,Chhattisgarh
139,Surguja,Chhattisgarh
140,Uttar Bastar Kanker,Chhattisgarh
766,Gaurela Pendra Marwahi,Chhattisgarh
141,Dadra and Nagar Haveli,Dadra and Nagar Haveli
142,Daman,Daman And Diu
143,Diu,Daman And Diu
144,Central Delhi,Delhi
145,East Delhi,Delhi
146,New Delhi,Delhi
147,North Delhi,Delhi
148,North East Delhi,Delhi
149,North West Delhi,Delhi
150,Shahdara,Delhi
151,South Delhi,Delhi
152,South East Delhi,Delhi
153,South West Delhi,Delhi
154,West Delhi,Delhi
155,North Goa,Goa
156,South Goa,Goa
157,Ahmedabad,Gujarat
158,Amreli,Gujarat
159,Anand,Gujarat
160,Aravalli,Gujarat
161,Banaskantha,Gujarat
162,Bharuch,Gujarat
163,Bhavnagar,Gujarat
164,Botad,Gujarat
165,Chhota Udaipur,Gujarat
166,Devbhumi Dwarka,Gujarat
167,Dahod,Gujarat
168,Gandhinagar,Gujarat
169,Gir Somnath,Gujarat
170,Jamnagar,Gujarat
171,Junagadh,Gujarat
172,Kutch,Gujarat
173,Kheda,Gujarat
174,Mehsana,Gujarat
175,Mahisagar,Gujarat
176,Morbi,Gujarat
177,Narmada,Gujarat
178,Navsari,Gujarat
179,Panchmahal,Gujarat
180,Patan,Gujarat
181,Porbandar,Gujarat
182,Rajkot,Gujarat
183,Sabarkantha,Gujarat
184,Surat,Gujarat
185,Surendranagar,Gujarat
186,Tapi,Gujarat
187,Dang,Gujarat
188,Vadodara,Gujarat
189,Valsad,Gujarat
190,Ambala,Haryana
191,Bhiwani,Haryana
192,Charkhi Dadri,Haryana
193,Faridabad,Haryana
194,Fatehabad,Haryana
195,Gurugram,Haryana
196,Hisar,Haryana
197,Jhajjar,Haryana
198,Jind,Haryana
199,Kaithal,Haryana
200,Karnal,Haryana
201,Kurukshetra,Haryana
202,Mahendragarh,Haryana
203,Nuh,Haryana
204,Palwal,Haryana
205,Panchkula,Haryana
206,Panipat,Haryana
207,Rewari,Haryana
208,Rohtak,Haryana
209,Sirsa,Haryana
210,Sonipat,Haryana
211,Yamunanagar,Haryana
212,Bilaspur,Himachal Pradesh
213,Chamba,Himachal Pradesh
214,Hamirpur,Himachal Pradesh
215,Kangra,Himachal Pradesh
216,Kinnaur,Himachal Pradesh
217,Kullu,Himachal Pradesh
218,Lahaul and Spiti,Himachal Pradesh
219,Mandi,Himachal Pradesh
220,Shimla,Himachal Pradesh
221,Sirmaur,Himachal Pradesh
222,Solan,Himachal Pradesh
223,Una,Himachal Pradesh
224,Anantnag,Jammu and Kashmir
225,Budgam,Jammu and Kashmir
226,Bandipora,Jammu and Kashmir
227,Baramulla,Jammu and Kashmir
228,Doda,Jammu and Kashmir
229,Ganderbal,Jammu and Kashmir
230,Jammu,Jammu and Kashmir
231,Kathua,Jammu and Kashmir
232,Kishtwar,Jammu and Kashmir
233,Kulgam,Jammu and Kashmir
234,Kupwara,Jammu and Kashmir
235,Mirpur,Jammu and Kashmir
236,Muzaffarabad,Jammu and Kashmir
237,Pulwama,Jammu and Kashmir
238,Punch,Jammu and Kashmir
239,Rajouri,Jammu and Kashmir
240,Ramban,Jammu and Kashmir
241,Reasi,Jammu and Kashmir
242,Samba,Jammu and Kashmir
243,Shopiyan,Jammu and Kashmir
244,Srinagar,Jammu and Kashmir
245,Udhampur,Jammu and Kashmir
246,Bokaro,Jharkhand
247,Chatra,Jharkhand
248,Deoghar,Jharkhand
249,Dhanbad,Jharkhand
250,Dumka,Jharkhand
251,Garhwa,Jharkhand
252,Giridih,Jharkhand
253,Godda,Jharkhand
254,Gumla,Jharkhand
255,Hazaribagh,Jharkhand
256,Jamtara,Jharkhand
257,Khunti,Jharkhand
258,Koderma,Jharkhand
259,Latehar,Jharkhand
260,Lohardaga,Jharkhand
261,Pakur,Jharkhand
262,Palamu,Jharkhand
263,West Singhbhum,Jharkhand
264,East Singhbhum,Jharkhand
265,Ramgarh,Jharkhand
266,Ranchi,Jharkhand
267,Sahibganj,Jharkhand
268,Saraikela-Kharsawan,Jharkhand
269,Simdega,Jharkhand
270,Bagalkote,Karnataka
271,Ballari,Karnataka
272,Belagavi,Karnataka
273,Bengaluru Urban,Karnataka
274,Bengaluru Rural,Karnataka
275,Bidar,Karnataka
276,Chamarajanagara,Karnataka
277,Chikkaballapura,Karnataka
278,Chikkamagaluru,Karnataka
279,Chitradurga,Karnataka
280,Dakshina Kannada,Karnataka
281,Davanagere,Karnataka
282,Dharwad,Karnataka
283,Gadag,Karnataka
284,Hassan,Karnataka
285,Haveri,Karnataka
286,Kalaburagi,Karnataka
287,Kodagu,Karnataka
288,Kolar,Karnataka
289,Koppal,Karnataka
290,Mandya,Karnataka
291,Mysuru,Karnataka
292,Raichur,Karnataka
293,Ramanagara,Karnataka
294,Shivamogga,Karnataka
295,Tumakuru,Karnataka
296,Udupi,Karnataka
297,Uttara Kannada,Karnataka
298,Vijayapura,Karnataka
299,Yadgir,Karnataka
300,Alappuzha,Kerala
301,Ernakulam,Kerala
302,Idukki,Kerala
303,Kannur,Kerala
304,Kasaragod,Kerala
305,Kollam,Kerala
306,Kottayam,Kerala
307,Kozhikode,Kerala
308,Malappuram,Kerala
309,Palakkad,Kerala
310,Pathanamthitta,Kerala
311,Thiruvananthapuram,Kerala
312,Thrissur,Kerala
313,Wayanad,Kerala
314,Kargil,Ladakh
315,Leh,Ladakh
316,Lakshadweep,Lakshadweep
317,Agar Malwa,Madhya Pradesh
318,Alirajpur,Madhya Pradesh
319,Anuppur,Madhya Pradesh
320,Ashoknagar,Madhya Pradesh
321,Balaghat,Madhya Pradesh
322,Barwani,Madhya Pradesh
323,Betul,Madhya Pradesh
324,Bhind,Madhya Pradesh
325,Bhopal,Madhya Pradesh
326,Burhanpur,Madhya Pradesh
327,Chhatarpur,Madhya Pradesh
328,Chhindwara,Madhya Pradesh
329,Damoh,Madhya Pradesh
330,Datia,Madhya Pradesh
331,Dewas,Madhya Pradesh
332,Dhar,Madhya Pradesh
333,Dindori,Madhya Pradesh
334,Khandwa,Madhya Pradesh
335,Guna,Madhya Pradesh
336,Gwalior,Madhya Pradesh
337,Harda,Madhya Pradesh
338,Hoshangabad,Madhya Pradesh
339,Indore,Madhya Pradesh
340,Jabalpur,Madhya Pradesh
341,Jhabua,Madhya Pradesh
342,Katni,Madhya Pradesh
343,Mandla,Madhya Pradesh
344,Mandsaur,Madhya Pradesh
345,Morena,Madhya Pradesh
346,Narsinghpur,Madhya Pradesh
347,Neemuch,Madhya Pradesh
348,Niwari,Madhya Pradesh
349,Panna,Madhya Pradesh
350,Raisen,Madhya Pradesh
351,Rajgarh,Madhya Pradesh
352,Ratlam,Madhya Pradesh
353,Rewa,Madhya Pradesh
354,Sagar,Madhya Pradesh
355,Satna,Madhya Pradesh
356,Sehore,Madhya Pradesh
357,Seoni,Madhya Pradesh
358,Shahdol,Madhya Pradesh
359,Shajapur,Madhya Pradesh
360,Sheopur,Madhya Pradesh
361,Shivpuri,Madhya Pradesh
362,Sidhi,Madhya Pradesh
363,Singrauli,Madhya Pradesh
364,Tikamgarh,Madhya Pradesh
365,Ujjain,Madhya Pradesh
366,Umaria,Madhya Pradesh
367,Vidisha,Madhya Pradesh
368,Khargone,Madhya Pradesh
369,Ahmednagar,Maharashtra
370,Akola,Maharashtra
371,Amravati,Maharashtra
372,Aurangabad,Maharashtra
373,Bhandara,Maharashtra
374,Beed,Maharashtra
375,Buldhana,Maharashtra
376,Chandrapur,Maharashtra
377,Dhule,Maharashtra
378,Gadchiroli,Maharashtra
379,Gondia,Maharashtra
380,Hingoli,Maharashtra
381,Jalgaon,Maharashtra
382,Jalna,Maharashtra
383,Kolhapur,Maharashtra
384,Latur,Maharashtra
385,Mumbai,Maharashtra
386,Mumbai Suburban,Maharashtra
387,Nagpur,Maharashtra
388,Nanded,Maharashtra
389,Nandurbar,Maharashtra
390,Nashik,Maharashtra
391,Osmanabad,Maharashtra
392,Palghar,Maharashtra
393,Parbhani,Maharashtra
394,Pune,Maharashtra
395,Raigad,Maharashtra
396,Ratnagiri,Maharashtra
397,Sangli,Maharashtra
398,Satara,Maharashtra
399,Sindhudurg,Maharashtra
400,Solapur,Maharashtra
401,Thane,Maharashtra
402,Wardha,Maharashtra
403,Washim,Maharashtra
404,Yavatmal,Maharashtra
405,Bishnupur,Manipur
406,Chandel,Manipur
407,Churachandpur,Manipur
408,Imphal East,Manipur
409,Imphal West,Manipur
410,Jiribam,Manipur
411,Kakching,Manipur
412,Kamjong,Manipur
413,Kangpokpi,Manipur
414,Noney,Manipur
415,Pherzawl,Manipur
416,Senapati,Manipur
417,Tamenglong,Manipur
418,Tengnoupal,Manipur
419,Thoubal,Manipur
420,Ukhrul,Manipur
421,East Garo Hills,Meghalaya
422,East Jaintia Hills,Meghalaya
423,East Khasi Hills,Meghalaya
424,North Garo Hills,Meghalaya
425,Ribhoi,Meghalaya
426,South Garo Hills,Meghalaya
427,South West Garo Hills,Meghalaya
428,South West Khasi Hills,Meghalaya
429,West Garo Hills,Meghalaya
430,West Jaintia Hills,Meghalaya
431,West Khasi Hills,Meghalaya
432,Aizawl,Mizoram
433,Champhai,Mizoram
434,Kolasib,Mizoram
435,Lawngtlai,Mizoram
436,Lunglei,Mizoram
437,Mamit,Mizoram
438,Saiha,Mizoram
439,Serchhip,Mizoram
440,Dimapur,Nagaland
441,Kiphire,Nagaland
442,Kohima,Nagaland
443,Longleng,Nagaland
444,Mokokchung,Nagaland
445,Mon,Nagaland
446,Peren,Nagaland
447,Phek,Nagaland
448,Tuensang,Nagaland
449,Wokha,Nagaland
450,Zunheboto,Nagaland
451,Angul,Odisha
452,Balangir,Odisha
453,Balasore,Odisha
454,Bargarh,Odisha
455,Boudh,Odisha
456,Bhadrak,Odisha
457,Cuttack,Odisha
458,Deogarh,Odisha
459,Dhenkanal,Odisha
460,Gajapati,Odisha
461,Ganjam,Odisha
462,Jagatsinghpur,Odisha
463,Jajpur,Odisha
464,Jharsuguda,Odisha
465,Kalahandi,Odisha
466,Kandhamal,Odisha
467,Kendrapara,Odisha
468,Kendujhar,Odisha
469,Khordha,Odisha
470,Koraput,Odisha
471,Malkangiri,Odisha
472,Mayurbhanj,Odisha
473,Nabarangapur,Odisha
474,Nayagarh,Odisha
475,Nuapada,Odisha
476,Puri,Odisha
477,Rayagada,Odisha
478,Sambalpur,Odisha
479,Subarnapur,Odisha
480,Sundargarh,Odisha
481,Karaikal,Puducherry
482,Mahe,Puducherry
483,Puducherry,Puducherry
484,Yanam,Puducherry
485,Amritsar,Punjab
486,Barnala,Punjab
487,Bathinda,Punjab
488,Faridkot,Punjab
489,Fatehgarh Sahib,Punjab
490,Fazilka,Punjab
491,Ferozepur,Punjab
492,Gurdaspur,Punjab
493,Hoshiarpur,Punjab
494,Jalandhar,Punjab
495,Kapurthala,Punjab
496,Ludhiana,Punjab
497,Mansa,Punjab
498,Moga,Punjab
499,Pathankot,Punjab
500,Patiala,Punjab
501,Rupnagar,Punjab
502,S.A.S. Nagar,Punjab
503,Sangrur,Punjab
504,Shahid Bhagat Singh Nagar,Punjab
505,Sri Muktsar Sahib,Punjab
506,Tarn Taran,Punjab
507,Ajmer,Rajasthan
508,Alwar,Rajasthan
509,Banswara,Rajasthan
510,Baran,Rajasthan
511,Barmer,Rajasthan
512,Bharatpur,Rajasthan
513,Bhilwara,Rajasthan
514,Bikaner,Rajasthan
515,Bundi,Rajasthan
516,Chittorgarh,Rajasthan
517,Churu,Rajasthan
518,Dausa,Rajasthan
519,Dholpur,Rajasthan
520,Dungarpur,Rajasthan
521,Ganganagar,Rajasthan
522,Hanumangarh,Rajasthan
523,Jaipur,Rajasthan
524,Jaisalmer,Rajasthan
525,Jalore,Rajasthan
526,Jhalawar,Rajasthan
527,Jhunjhunu,Rajasthan
528,Jodhpur,Rajasthan
529,Karauli,Rajasthan
530,Kota,Rajasthan
531,Nagaur,Rajasthan
532,Pali,Rajasthan
533,Pratapgarh,Rajasthan
534,Rajsamand,Rajasthan
535,Sawai Madhopur,Rajasthan
536,Sikar,Rajasthan
537,Sirohi,Rajasthan
538,Tonk,Rajasthan
539,Udaipur,Rajasthan
540,East Sikkim,Sikkim
541,North Sikkim,Sikkim
542,South Sikkim,Sikkim
543,West Sikkim,Sikkim
544,Ariyalur,Tamil Nadu
545,Chennai,Tamil Nadu
546,Coimbatore,Tamil Nadu
547,Cuddalore,Tamil Nadu
548,Dharmapuri,Tamil Nadu
549,Dindigul,Tamil Nadu
550,Erode,Tamil Nadu
551,Kancheepuram,Tamil Nadu
552,Kanyakumari,Tamil Nadu
553,Karur,Tamil Nadu
554,Krishnagiri,Tamil Nadu
555,Madurai,Tamil Nadu
556,Nagapattinam,Tamil Nadu
557,Namakkal,Tamil Nadu
558,Perambalur,Tamil Nadu
559,Pudukkottai,Tamil Nadu
560,Ramanathapuram,Tamil Nadu
561,Salem,Tamil Nadu
562,Sivaganga,Tamil Nadu
563,Thanjavur,Tamil Nadu
564,Nilgiris,Tamil Nadu
565,Theni,Tamil Nadu
566,Thiruvallur,Tamil Nadu
567,Thiruvarur,Tamil Nadu
568,Thoothukkudi,Tamil Nadu
569,Tiruchirappalli,Tamil Nadu
570,Tirunelveli,Tamil Nadu
571,Tiruppur,Tamil Nadu
572,Tiruvannamalai,Tamil Nadu
573,Vellore,Tamil Nadu
574,Viluppuram,Tamil Nadu
575,Virudhunagar,Tamil Nadu
576,Adilabad,Telangana
577,Bhadradri Kothagudem,Telangana
578,Hyderabad,Telangana
579,Jagtial,Telangana
580,Jangaon,Telangana
581,Jayashankar Bhupalapally,Telangana
582,Jogulamba Gadwal,Telangana
583,Kamareddy,Telangana
584,Karimnagar,Telangana
585,Khammam,Telangana
586,Komaram Bheem,Telangana
587,Mahabubabad,Telangana
588,Mahabubnagar,Telangana
589,Mancherial,Telangana
590,Medak,Telangana
591,Medchal Malkajgiri,Telangana
592,Mulugu,Telangana
593,Nagarkurnool,Telangana
594,Nalgonda,Telangana
595,Narayanpet,Telangana
596,Nirmal,Telangana
597,Nizamabad,Telangana
598,Peddapalli,Telangana
599,Rajanna Sircilla,Telangana
600,Ranga Reddy,Telangana
601,Sangareddy,Telangana
602,Siddipet,Telangana
603,Suryapet,Telangana
604,Vikarabad,Telangana
605,Wanaparthy,Telangana
606,Warangal Rural,Telangana
607,Warangal Urban,Telangana
608,Yadadri Bhuvanagiri,Telangana
609,Dhalai,Tripura
610,Gomati,Tripura
611,Khowai,Tripura
612,North Tripura,Tripura
613,Sipahijala,Tripura
614,South Tripura,Tripura
615,Unokoti,Tripura
616,West Tripura,Tripura
617,Agra,Uttar Pradesh
618,Aligarh,Uttar Pradesh
619,Ambedkar Nagar,Uttar Pradesh
620,Amethi,Uttar Pradesh
621,Amroha,Uttar Pradesh
622,Auraiya,Uttar Pradesh
623,Azamgarh,Uttar Pradesh
624,Baghpat,Uttar Pradesh
625,Bahraich,Uttar Pradesh
626,Ballia,Uttar Pradesh
627,Balrampur,Uttar Pradesh
628,Banda,Uttar Pradesh
629,Barabanki,Uttar Pradesh
630,Bareilly,Uttar Pradesh
631,Basti,Uttar Pradesh
632,Bhadohi,Uttar Pradesh
633,Bijnor,Uttar Pradesh
634,Budaun,Uttar Pradesh
635,Bulandshahr,Uttar Pradesh
636,Chandauli,Uttar Pradesh
637,Chitrakoot,Uttar Pradesh
638,Deoria,Uttar Pradesh
639,Etah,Uttar Pradesh
640,Etawah,Uttar Pradesh
641,Ayodhya,Uttar Pradesh
642,Farrukhabad,Uttar Pradesh
643,Fatehpur,Uttar Pradesh
644,Firozabad,Uttar Pradesh
645,Gautam Buddha Nagar,Uttar Pradesh
646,Ghaziabad,Uttar Pradesh
647,Ghazipur,Uttar Pradesh
648,Gonda,Uttar Pradesh
649,Gorakhpur,Uttar Pradesh
650,Hamirpur,Uttar Pradesh
651,Hapur,Uttar Pradesh
652,Hardoi,Uttar Pradesh
653,Hathras,Uttar Pradesh
654,Jalaun,Uttar Pradesh
655,Jaunpur,Uttar Pradesh
656,Jhansi,Uttar Pradesh
657,Kannauj,Uttar Pradesh
658,Kanpur Dehat,Uttar Pradesh
659,Kanpur Nagar,Uttar Pradesh
660,Kasganj,Uttar Pradesh
661,Kaushambi,Uttar Pradesh
662,Lakhimpur Kheri,Uttar Pradesh
663,Kushinagar,Uttar Pradesh
664,Lalitpur,Uttar Pradesh
665,Lucknow,Uttar Pradesh
666,Mahoba,Uttar Pradesh
667,Maharajganj,Uttar Pradesh
668,Mainpuri,Uttar Pradesh
669,Mathura,Uttar Pradesh
670,Mau,Uttar Pradesh
671,Meerut,Uttar Pradesh
672,Mirzapur,Uttar Pradesh
673,Moradabad,Uttar Pradesh
674,Muzaffarnagar,Uttar Pradesh
675,Pilibhit,Uttar Pradesh
676,Pratapgarh,Uttar Pradesh
677,Prayagraj,Uttar Pradesh
678,Rae Bareli,Uttar Pradesh
679,Rampur,Uttar Pradesh
680,Saharanpur,Uttar Pradesh
681,Sambhal,Uttar Pradesh
682,Sant Kabir Nagar,Uttar Pradesh
683,Shahjahanpur,Uttar Pradesh
684,Shamli,Uttar Pradesh
685,Shrawasti,Uttar Pradesh
686,Siddharthnagar,Uttar Pradesh
687,Sitapur,Uttar Pradesh
688,Sonbhadra,Uttar Pradesh
689,Sultanpur,Uttar Pradesh
690,Unnao,Uttar Pradesh
691,Varanasi,Uttar Pradesh
692,Almora,Uttarakhand
693,Bageshwar,Uttarakhand
694,Chamoli,Uttarakhand
695,Champawat,Uttarakhand
696,Dehradun,Uttarakhand
697,Haridwar,Uttarakhand
698,Nainital,Uttarakhand
699,Pauri Garhwal,Uttarakhand
700,Pithoragarh,Uttarakhand
701,Rudraprayag,Uttarakhand
702,Tehri Garhwal,Uttarakhand
703,Udham Singh Nagar,Uttarakhand
704,Uttarkashi,Uttarakhand
705,Alipurduar,West Bengal
706,Bankura,West Bengal
707,Birbhum,West Bengal
708,Cooch Behar,West Bengal
709,Dakshin Dinajpur,West Bengal
710,Darjeeling,West Bengal
711,Hooghly,West Bengal
712,Howrah,West Bengal
713,Jalpaiguri,West Bengal
714,Jhargram,West Bengal
715,Kalimpong,West Bengal
716,Kolkata,West Bengal
717,Malda,West Bengal
718,Paschim Medinipur,West Bengal
719,Murshidabad,West Bengal
720,Nadia,West Bengal
721,North 24 Parganas,West Bengal
722,Paschim Bardhaman,West Bengal
723,Purba Bardhaman,West Bengal
724,Purba Medinipur,West Bengal
725,Purulia,West Bengal
726,South 24 Parganas,West Bengal
727,Uttar Dinajpur,West Bengal
728,Saitual,Mizoram
729,Hnahthial,Mizoram
730,Khawzawl,Mizoram
731,Tenkasi,Tamil Nadu
732,Chengalpattu,Tamil Nadu
733,Ranipet,Tamil Nadu
734,Kallakurichi,Tamil Nadu
735,Tirupathur,Tamil Nadu
