SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,22,10,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,53,35,14,4
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,73,60,13,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,39,27,12,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,214,177,29,8
8,AP,Andhra Pradesh,AP_Krishna,Krishna,177,140,29,8
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,279,239,31,9
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,56,33,23,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,72,47,23,2
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,3,3,0,0
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,22,3,19,0
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,51,41,10,0
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,58,30,28,
0,AP,Andhra Pradesh,AP_Other State,Other State,,,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,1,0,1,
26,AR,Arunachal Pradesh,AR_Longding,Longding,,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,,0,,
42,AS,Assam,AS_Baksa,Baksa,,0,,
43,AS,Assam,AS_Barpeta,Barpeta,,0,,
44,AS,Assam,AS_Biswanath,Biswanath,,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,,0,,
46,AS,Assam,AS_Cachar,Cachar,1,0,1,
47,AS,Assam,AS_Charaideo,Charaideo,,0,,
48,AS,Assam,AS_Chirang,Chirang,,0,,
49,AS,Assam,AS_Darrang,Darrang,,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,,0,,
51,AS,Assam,AS_Dhubri,Dhubri,5,2,3,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,,0,,
54,AS,Assam,AS_Goalpara,Goalpara,4,1,3,
55,AS,Assam,AS_Golaghat,Golaghat,9,1,8,
56,AS,Assam,AS_Hailakandi,Hailakandi,1,0,,1
57,AS,Assam,AS_Hojai,Hojai,,0,,
58,AS,Assam,AS_Jorhat,Jorhat,,0,,
59,AS,Assam,AS_Kamrup,Kamrup,1,0,1,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,1,0,1,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,,0,,
62,AS,Assam,AS_Karimganj,Karimganj,1,1,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,1,0,1,
65,AS,Assam,AS_Majuli,Majuli,,0,,
66,AS,Assam,AS_Morigaon,Morigaon,6,2,4,
67,AS,Assam,AS_Nagaon,Nagaon,,0,,
68,AS,Assam,AS_Nalbari,Nalbari,4,0,4,
69,AS,Assam,AS_Sivasagar,Sivasagar,,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,1,0,1,
72,AS,Assam,AS_Tinsukia,Tinsukia,,0,,
73,AS,Assam,AS_Udalguri,Udalguri,,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,,0,,
0,AS,Assam,AS_Other State,Other State,1,,,
75,BR,Bihar,BR_Araria,Araria,,0,,
76,BR,Bihar,BR_Arwal,Arwal,4,4,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,2,2,,
78,BR,Bihar,BR_Banka,Banka,2,2,,
79,BR,Bihar,BR_Begusarai,Begusarai,9,8,1,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,5,4,1,
81,BR,Bihar,BR_Bhojpur,Bhojpur,2,1,1,
82,BR,Bihar,BR_Buxar,Buxar,25,24,1,
83,BR,Bihar,BR_Darbhanga,Darbhanga,,0,,
101,BR,Bihar,BR_East Champaran,East Champaran,5,5,,
84,BR,Bihar,BR_Gaya,Gaya,6,1,5,
85,BR,Bihar,BR_Gopalganj,Gopalganj,12,9,3,
86,BR,Bihar,BR_Jamui,Jamui,,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,1,1,,
88,BR,Bihar,BR_Kaimur,Kaimur,14,14,,
89,BR,Bihar,BR_Katihar,Katihar,,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,1,0,1,
93,BR,Bihar,BR_Madhepura,Madhepura,1,1,,
94,BR,Bihar,BR_Madhubani,Madhubani,,0,,
95,BR,Bihar,BR_Munger,Munger,68,56,11,1
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,34,28,6,
98,BR,Bihar,BR_Nawada,Nawada,3,1,2,
100,BR,Bihar,BR_Patna,Patna,33,28,5,
102,BR,Bihar,BR_Purnia,Purnia,,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,15,15,,
104,BR,Bihar,BR_Saharsa,Saharsa,,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,,0,,
106,BR,Bihar,BR_Saran,Saran,3,2,1,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,,0,,
110,BR,Bihar,BR_Siwan,Siwan,30,12,18,
111,BR,Bihar,BR_Supaul,Supaul,,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,2,1,,1
99,BR,Bihar,BR_West Champaran,West Champaran,,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,36,19,17,
114,CT,Chhattisgarh,CT_Balod,Balod,,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,1,0,1,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,1,0,1,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,,0,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,,0,,
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,28,4,24,
130,CT,Chhattisgarh,CT_Koriya,Koriya,,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,,0,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,0,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,6,1,5,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,1,0,1,
137,CT,Chhattisgarh,CT_Sukma,Sukma,,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,,0,,
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,,0,,
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,,0,,
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,,
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,32,,
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,,
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,,
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,,
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,,
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,,
155,GA,Goa,GA_North Goa,North Goa,6,0,6,
156,GA,Goa,GA_South Goa,South Goa,1,0,1,
0,GJ,Gujarat,GJ_Other State,Other State,,,,
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,2181,1937,140,104
158,GJ,Gujarat,GJ_Amreli,Amreli,,0,,
159,GJ,Gujarat,GJ_Anand,Anand,49,32,14,3
160,GJ,Gujarat,GJ_Aravalli,Aravalli,18,17,0,1
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,28,27,1,0
162,GJ,Gujarat,GJ_Bharuch,Bharuch,29,13,14,2
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,40,17,18,5
164,GJ,Gujarat,GJ_Botad,Botad,12,11,0,1
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,13,10,3,0
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,,0,,
167,GJ,Gujarat,GJ_Dahod,Dahod,4,3,1,0
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,25,11,12,2
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,3,1,2,0
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,1,0,0,1
171,GJ,Gujarat,GJ_Junagadh,Junagadh,,0,,
172,GJ,Gujarat,GJ_Kutch,Kutch,6,2,3,1
173,GJ,Gujarat,GJ_Kheda,Kheda,6,5,1,0
174,GJ,Gujarat,GJ_Mehsana,Mehsana,7,5,2,0
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,10,10,0,0
176,GJ,Gujarat,GJ_Morbi,Morbi,1,1,0,0
177,GJ,Gujarat,GJ_Narmada,Narmada,12,12,0,0
178,GJ,Gujarat,GJ_Navsari,Navsari,3,3,0,0
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,17,15,0,2
180,GJ,Gujarat,GJ_Patan,Patan,17,5,11,1
181,GJ,Gujarat,GJ_Porbandar,Porbandar,3,0,3,0
182,GJ,Gujarat,GJ_Rajkot,Rajkot,45,31,14,0
183,GJ,Gujarat,GJ_Sabarkantha,Sabarkantha,3,1,2,0
184,GJ,Gujarat,GJ_Surat,Surat,526,495,16,15
185,GJ,Gujarat,GJ_Surendranagar,Surendranagar,1,1,,
186,GJ,Gujarat,GJ_Tapi,Tapi,1,1,0,0
187,GJ,Gujarat,GJ_Dang,Dang,1,1,,
188,GJ,Gujarat,GJ_Vadodara,Vadodara,234,166,56,12
189,GJ,Gujarat,GJ_Valsad,Valsad,5,4,0,1
190,HR,Haryana,HR_Ambala,Ambala,13,2,10,1
191,HR,Haryana,HR_Bhiwani,Bhiwani,3,1,2,
192,HR,Haryana,HR_Charkhi Dadri,Charkhi Dadri,1,0,1,
193,HR,Haryana,HR_Faridabad,Faridabad,45,16,29,
194,HR,Haryana,HR_Fatehabad,Fatehabad,1,0,1,
195,HR,Haryana,HR_Gurugram,Gurugram,51,16,35,
196,HR,Haryana,HR_Hisar,Hisar,4,2,2,
197,HR,Haryana,HR_Jhajjar,Jhajjar,,0,,
198,HR,Haryana,HR_Jind,Jind,2,0,2,
199,HR,Haryana,HR_Kaithal,Kaithal,2,0,2,
200,HR,Haryana,HR_Karnal,Karnal,6,0,5,1
201,HR,Haryana,HR_Kurukshetra,Kurukshetra,2,0,2,
202,HR,Haryana,HR_Mahendragarh,Mahendragarh,,0,,
203,HR,Haryana,HR_Nuh,Nuh,57,18,39,
204,HR,Haryana,HR_Palwal,Palwal,34,5,29,
205,HR,Haryana,HR_Panchkula,Panchkula,18,8,10,
206,HR,Haryana,HR_Panipat,Panipat,12,7,5,
207,HR,Haryana,HR_Rewari,Rewari,,0,,
208,HR,Haryana,HR_Rohtak,Rohtak,4,3,,1
209,HR,Haryana,HR_Sirsa,Sirsa,4,0,4,
210,HR,Haryana,HR_Sonipat,Sonipat,20,16,4,
211,HR,Haryana,HR_Yamunanagar,Yamunanagar,3,0,3,
0,HR,Haryana,HR_Italians,Italians,14,0,14,
212,HP,Himachal Pradesh,HP_Bilaspur,Bilaspur,0,0,,
213,HP,Himachal Pradesh,HP_Chamba,Chamba,6,2,4,
214,HP,Himachal Pradesh,HP_Hamirpur,Hamirpur,2,2,,
215,HP,Himachal Pradesh,HP_Kangra,Kangra,5,1,3,1
216,HP,Himachal Pradesh,HP_Kinnaur,Kinnaur,,0,,
217,HP,Himachal Pradesh,HP_Kullu,Kullu,,0,,
218,HP,Himachal Pradesh,HP_Lahaul and Spiti,Lahaul and Spiti,,0,,
219,HP,Himachal Pradesh,HP_Mandi,Mandi,,0,,
220,HP,Himachal Pradesh,HP_Shimla,Shimla,,0,,
221,HP,Himachal Pradesh,HP_Sirmaur,Sirmaur,2,1,1,
222,HP,Himachal Pradesh,HP_Solan,Solan,9,5,3,1
223,HP,Himachal Pradesh,HP_Una,Una,16,5,11,
224,JK,Jammu and Kashmir,JK_Anantnag,Anantnag,48,48,,
225,JK,Jammu and Kashmir,JK_Budgam,Budgam,14,5,9,
226,JK,Jammu and Kashmir,JK_Bandipora,Bandipora,124,100,23,1
227,JK,Jammu and Kashmir,JK_Baramulla,Baramulla,62,42,17,3
228,JK,Jammu and Kashmir,JK_Doda,Doda,,0,,
229,JK,Jammu and Kashmir,JK_Ganderbal,Ganderbal,14,12,2,
230,JK,Jammu and Kashmir,JK_Jammu,Jammu,26,12,14,
231,JK,Jammu and Kashmir,JK_Kathua,Kathua,1,1,,
232,JK,Jammu and Kashmir,JK_Kishtwar,Kishtwar,1,0,1,
233,JK,Jammu and Kashmir,JK_Kulgam,Kulgam,6,6,0,
234,JK,Jammu and Kashmir,JK_Kupwara,Kupwara,47,39,8,
235,JK,Jammu and Kashmir,JK_Mirpur,Mirpur,,0,,
236,JK,Jammu and Kashmir,JK_Muzaffarabad,Muzaffarabad,,0,,
237,JK,Jammu and Kashmir,JK_Pulwama,Pulwama,3,0,3,
238,JK,Jammu and Kashmir,JK_Punch,Punch,,0,,
239,JK,Jammu and Kashmir,JK_Rajouri,Rajouri,4,1,3,
240,JK,Jammu and Kashmir,JK_Ramban,Ramban,1,1,,
241,JK,Jammu and Kashmir,JK_Reasi,Reasi,,0,,
242,JK,Jammu and Kashmir,JK_Samba,Samba,4,4,,
243,JK,Jammu and Kashmir,JK_Shopiyan,Shopiyan,63,52,11,
244,JK,Jammu and Kashmir,JK_Srinagar,Srinagar,85,47,37,1
245,JK,Jammu and Kashmir,JK_Udhampur,Udhampur,20,10,9,1
246,JH,Jharkhand,JH_Bokaro,Bokaro,10,5,4,1
247,JH,Jharkhand,JH_Chatra,Chatra,,0,,
248,JH,Jharkhand,JH_Deoghar,Deoghar,2,2,,
249,JH,Jharkhand,JH_Dhanbad,Dhanbad,2,2,,
250,JH,Jharkhand,JH_Dumka,Dumka,,0,,
251,JH,Jharkhand,JH_Garhwa,Garhwa,3,3,,
252,JH,Jharkhand,JH_Giridih,Giridih,1,1,,
253,JH,Jharkhand,JH_Godda,Godda,,0,,
254,JH,Jharkhand,JH_Gumla,Gumla,,0,,
255,JH,Jharkhand,JH_Hazaribagh,Hazaribagh,3,1,2,
256,JH,Jharkhand,JH_Jamtara,Jamtara,,0,,
257,JH,Jharkhand,JH_Khunti,Khunti,,0,,
258,JH,Jharkhand,JH_Koderma,Koderma,1,1,,
259,JH,Jharkhand,JH_Latehar,Latehar,,0,,
260,JH,Jharkhand,JH_Lohardaga,Lohardaga,,0,,
261,JH,Jharkhand,JH_Pakur,Pakur,,0,,
262,JH,Jharkhand,JH_Palamu,Palamu,3,3,,
263,JH,Jharkhand,JH_West Singhbhum,West Singhbhum,,0,,
264,JH,Jharkhand,JH_East Singhbhum,East Singhbhum,,0,,
265,JH,Jharkhand,JH_Ramgarh,Ramgarh,,0,,
266,JH,Jharkhand,JH_Ranchi,Ranchi,55,47,6,2
267,JH,Jharkhand,JH_Sahibganj,Sahibganj,,0,,
268,JH,Jharkhand,JH_Saraikela-Kharsawan,Saraikela-Kharsawan,,0,,
269,JH,Jharkhand,JH_Simdega,Simdega,2,1,1,
270,KA,Karnataka,KA_Bagalkote,Bagalkote,24,18,6,1
271,KA,Karnataka,KA_Ballari,Ballari,13,8,5,
272,KA,Karnataka,KA_Belagavi,Belagavi,52,44,6,1
273,KA,Karnataka,KA_Bengaluru Urban,Bengaluru Urban,129,68,53,5
274,KA,Karnataka,KA_Bengaluru Rural,Bengaluru Rural,6,1,5,
275,KA,Karnataka,KA_Bidar,Bidar,14,6,8,
276,KA,Karnataka,KA_Chamarajanagara,Chamarajanagara,,0,,
277,KA,Karnataka,KA_Chikkaballapura,Chikkaballapura,18,5,11,2
278,KA,Karnataka,KA_Chikkamagaluru,Chikkamagaluru,,0,,
279,KA,Karnataka,KA_Chitradurga,Chitradurga,1,0,1,
280,KA,Karnataka,KA_Dakshina Kannada,Dakshina Kannada,13,5,6,2
281,KA,Karnataka,KA_Davanagere,Davanagere,2,0,2,
282,KA,Karnataka,KA_Dharwad,Dharwad,9,7,2,
283,KA,Karnataka,KA_Gadag,Gadag,4,3,,1
284,KA,Karnataka,KA_Hassan,Hassan,,0,,
285,KA,Karnataka,KA_Haveri,Haveri,,0,,
286,KA,Karnataka,KA_Kalaburagi,Kalaburagi,38,27,7,4
287,KA,Karnataka,KA_Kodagu,Kodagu,1,0,1,
288,KA,Karnataka,KA_Kolar,Kolar,,0,,
289,KA,Karnataka,KA_Koppal,Koppal,,0,,
290,KA,Karnataka,KA_Mandya,Mandya,16,12,4,
291,KA,Karnataka,KA_Mysuru,Mysuru,87,51,36,
292,KA,Karnataka,KA_Raichur,Raichur,,0,,
293,KA,Karnataka,KA_Ramanagara,Ramanagara,,0,,
294,KA,Karnataka,KA_Shivamogga,Shivamogga,,0,,
295,KA,Karnataka,KA_Tumakuru,Tumakuru,3,1,1,1
296,KA,Karnataka,KA_Udupi,Udupi,3,0,3,
297,KA,Karnataka,KA_Uttara Kannada,Uttara Kannada,11,1,10,
298,KA,Karnataka,KA_Vijayapura,Vijayapura,39,37,,2
299,KA,Karnataka,KA_Yadgir,Yadgir,,0,,
0,KA,Karnataka,KA_Other State,Other State,20,5,15,
300,KL,Kerala,KL_Alappuzha,Alappuzha,5,0,5,
301,KL,Kerala,KL_Ernakulam,Ernakulam,24,2,21,1
302,KL,Kerala,KL_Idukki,Idukki,20,10,10,
303,KL,Kerala,KL_Kannur,Kannur,111,55,55,1
304,KL,Kerala,KL_Kasaragod,Kasaragod,175,14,161,
305,KL,Kerala,KL_Kollam,Kollam,14,9,5,
306,KL,Kerala,KL_Kottayam,Kottayam,14,11,3,
307,KL,Kerala,KL_Kozhikode,Kozhikode,24,11,13,
308,KL,Kerala,KL_Malappuram,Malappuram,22,2,19,1
309,KL,Kerala,KL_Palakkad,Palakkad,12,5,7,
310,KL,Kerala,KL_Pathanamthitta,Pathanamthitta,17,3,14,
311,KL,Kerala,KL_Thiruvananthapuram,Thiruvananthapuram,15,1,13,1
312,KL,Kerala,KL_Thrissur,Thrissur,13,0,13,
313,KL,Kerala,KL_Wayanad,Wayanad,3,0,3,
314,LA,Ladakh,LA_Kargil,Kargil,5,1,4,
315,LA,Ladakh,LA_Leh,Leh,15,3,12,
316,LD,Lakshadweep,LD_Lakshadweep,Lakshadweep,,0,,
317,MP,Madhya Pradesh,MP_Agar Malwa,Agar Malwa,11,10,0,1
318,MP,Madhya Pradesh,MP_Alirajpur,Alirajpur,3,3,,
319,MP,Madhya Pradesh,MP_Anuppur,Anuppur,,0,,
320,MP,Madhya Pradesh,MP_Ashoknagar,Ashoknagar,,0,,
321,MP,Madhya Pradesh,MP_Balaghat,Balaghat,,0,,
322,MP,Madhya Pradesh,MP_Barwani,Barwani,24,17,7,0
323,MP,Madhya Pradesh,MP_Betul,Betul,1,1,,
324,MP,Madhya Pradesh,MP_Bhind,Bhind,,0,,
325,MP,Madhya Pradesh,MP_Bhopal,Bhopal,415,302,104,9
326,MP,Madhya Pradesh,MP_Burhanpur,Burhanpur,0,0,,
327,MP,Madhya Pradesh,MP_Chhatarpur,Chhatarpur,,0,,
328,MP,Madhya Pradesh,MP_Chhindwara,Chhindwara,5,4,,1
329,MP,Madhya Pradesh,MP_Damoh,Damoh,,0,,
330,MP,Madhya Pradesh,MP_Datia,Datia,,0,,
331,MP,Madhya Pradesh,MP_Dewas,Dewas,23,13,4,6
332,MP,Madhya Pradesh,MP_Dhar,Dhar,36,35,0,1
333,MP,Madhya Pradesh,MP_Dindori,Dindori,1,1,,
335,MP,Madhya Pradesh,MP_Guna,Guna,,0,,
336,MP,Madhya Pradesh,MP_Gwalior,Gwalior,4,2,2,
337,MP,Madhya Pradesh,MP_Harda,Harda,,0,,
338,MP,Madhya Pradesh,MP_Hoshangabad,Hoshangabad,32,21,9,2
339,MP,Madhya Pradesh,MP_Indore,Indore,1176,1012,107,57
340,MP,Madhya Pradesh,MP_Jabalpur,Jabalpur,59,51,7,1
341,MP,Madhya Pradesh,MP_Jhabua,Jhabua,,0,,
342,MP,Madhya Pradesh,MP_Katni,Katni,,0,,
334,MP,Madhya Pradesh,MP_Khandwa,Khandwa,36,23,12,1
368,MP,Madhya Pradesh,MP_Khargone,Khargone,61,43,12,6
343,MP,Madhya Pradesh,MP_Mandla,Mandla,,0,,
344,MP,Madhya Pradesh,MP_Mandsaur,Mandsaur,9,8,,1
345,MP,Madhya Pradesh,MP_Morena,Morena,13,0,13,
346,MP,Madhya Pradesh,MP_Narsinghpur,Narsinghpur,,0,,
347,MP,Madhya Pradesh,MP_Neemuch,Neemuch,,0,,
348,MP,Madhya Pradesh,MP_Niwari,Niwari,,0,,
349,MP,Madhya Pradesh,MP_Panna,Panna,,0,,
350,MP,Madhya Pradesh,MP_Raisen,Raisen,28,27,1,0
351,MP,Madhya Pradesh,MP_Rajgarh,Rajgarh,0,0,,
352,MP,Madhya Pradesh,MP_Ratlam,Ratlam,13,13,,
353,MP,Madhya Pradesh,MP_Rewa,Rewa,,0,,
354,MP,Madhya Pradesh,MP_Sagar,Sagar,5,4,1,
355,MP,Madhya Pradesh,MP_Satna,Satna,0,0,,
356,MP,Madhya Pradesh,MP_Sehore,Sehore,,0,,
357,MP,Madhya Pradesh,MP_Seoni,Seoni,,0,,
358,MP,Madhya Pradesh,MP_Shahdol,Shahdol,,0,,
359,MP,Madhya Pradesh,MP_Shajapur,Shajapur,6,5,1,
360,MP,Madhya Pradesh,MP_Sheopur,Sheopur,4,2,2,
361,MP,Madhya Pradesh,MP_Shivpuri,Shivpuri,2,0,2,
362,MP,Madhya Pradesh,MP_Sidhi,Sidhi,,0,,
363,MP,Madhya Pradesh,MP_Singrauli,Singrauli,,0,,
364,MP,Madhya Pradesh,MP_Tikamgarh,Tikamgarh,2,2,,
365,MP,Madhya Pradesh,MP_Ujjain,Ujjain,106,84,5,17
366,MP,Madhya Pradesh,MP_Umaria,Umaria,,0,,
367,MP,Madhya Pradesh,MP_Vidisha,Vidisha,13,0,13,
0,MP,Madhya Pradesh,MP_Other Region,Other Region,2,2,,
369,MH,Maharashtra,MH_Ahmednagar,Ahmednagar,36,12,22,2
370,MH,Maharashtra,MH_Akola,Akola,29,21,7,1
371,MH,Maharashtra,MH_Amravati,Amravati,20,15,4,1
